disease	name	symptoms	symptomNames
COAGULATION_FACTOR_VIII_AUTOANTIBODY	coagulation factor VIII autoantibody (acquired hemophilia)	(HEMORRHAGE)	(hemorrhage (bleeding))
VON_WILLEBRAND^S_DISEASE	von-Willebrand's disease (vWD)	(POSTPARTUM_HEMORRHAGE ENDOMETRIOSIS MENORRHAGIA HEMATOMA ECCHYMOSIS EPISTAXIS HEMORRHAGE)	(postpartum hemorrhage endometriosis menorrhagia hematoma ecchymosis epistaxis (nose bleed) hemorrhage (bleeding))
SPLENIC_SEQUESTRATION	splenic sequestration	(PALLOR WEAKNESS TACHYPNEA TACHYARRHYTHMIA SPLENOMEGALY)	(pallor weakness tachypnea tachyarrhythmia (tachycardia) splenomegaly)
SPLENOMEGALY	splenomegaly	(SPLENOMEGALY)	(splenomegaly)
ACETAMINOPHEN_POISONING	acetaminophen poisoning	(HEPATIC_ENCEPHALOPATHY VIRAL_HEPATITIS RIGHT_UPPER_QUADRANT_PAIN NAUSEA ANOREXIA VOMITING DIAPHORESIS)	(hepatic encephalopathy viral hepatitis right upper quadrant pain nausea anorexia vomiting diaphoresis)
FOOD_POISONING	food poisoning (foodborne disease)	(ABDOMINAL_PAIN DIARRHEA NAUSEA VOMITING)	(abdominal pain diarrhea nausea vomiting)
FLUORIDE_TOXICITY	fluoride toxicity	(HYPOCALCEMIA HYPERTENSION DIARRHEA ABDOMINAL_PAIN NAUSEA VOMITING)	(hypocalcemia hypertension (HTN, high blood pressure, HBP) diarrhea abdominal pain nausea vomiting)
ETHYLENE_GLYCOL_INTOXICATION	ethylene glycol intoxication	(METABOLIC_ACIDOSIS)	(metabolic acidosis)
CARBON_MONOXIDE_POISONING	carbon monoxide poisoning	(BOUNDING_PULSE HYPERTENSION SNORING STERTOR SLEEP_DISORDER DEPRESSION PERSONALITY_CHANGE CONVULSION CONFUSION CHEST_PAIN DYSPNEA NAUSEA VOMITING DIZZINESS HEADACHE)	(bounding pulse hypertension (HTN, high blood pressure, HBP) snoring stertor sleep disorder depression personality change convulsion confusion chest pain dyspnea (shortness of breath {SOB}) nausea vomiting dizziness headache)
ORGANOPHOSPHATE_TOXICITY	organophosphate toxicity	(GASTROINTESTINAL_SYMPTOM CONFUSION DIAPHORESIS LACRIMATION NAUSEA DIARRHEA VOMITING ABDOMINAL_PAIN SEIZURE FASCICULATION MIOSIS PULMONARY_EDEMA WHEEZE BRONCHORRHEA BRADYARRHYTHMIA)	(gastrointestinal symptom confusion diaphoresis lacrimation nausea diarrhea vomiting abdominal pain seizure; epileptic seizure fasciculation (muscle twitching) miosis (pupillary constriction) pulmonary edema (pulmonary congestion, PE) wheeze bronchorrhea bradyarrhythmia (bradycardia))
SPOROTRICHOSIS	sporotrichosis	(MONOARTICULAR_ARTHRITIS)	(monoarticular arthritis)
MUCORMYCOSIS	mucormycosis (Zygomycosis, Phycomycosis)	(HEMOPTYSIS EPISTAXIS)	(hemoptysis epistaxis (nose bleed))
BLASTOMYCOSIS	Blastomycosis	(ULCER FEVER ARTHRALGIA PERSPIRATION COUGH)	(ulcer fever arthralgia perspiration (sweating) cough)
ASPERGILLOSIS	aspergillosis	(SIGN/SYMPTOM ARTHRALGIA FEVER COUGH HEMOPTYSIS DYSPNEA)	(sign/symptom arthralgia fever cough hemoptysis dyspnea (shortness of breath {SOB}))
ERGOTISM	ergotism	(NAUSEA VOMITING DROWSINESS HEADACHE CONVULSION PRURITIS PARESTHESIA CRAMP DIARRHEA COLIC)	(nausea vomiting drowsiness headache convulsion pruritis (itching) paresthesia cramp diarrhea colic)
HISTOPLASMOSIS	histoplasmosis (Ohio Valley fever)	(HEPATOMEGALY SPLENOMEGALY LYMPHADENOPATHY HILAR_LYMPHADENOPATHY PHARYNGITIS ULCER FEVER WEIGHT_LOSS MALAISE MENINGITIS MELENA DIARRHEA ABDOMINAL_CRAMPING PULMONARY_CRACKLES DYSPNEA COUGH)	(hepatomegaly splenomegaly lymphadenopathy hilar lymphadenopathy pharyngitis ulcer fever weight loss malaise meningitis melena diarrhea abdominal cramping pulmonary crackles; rales dyspnea (shortness of breath {SOB}) cough)
COCCIDIOIDOMYCOSIS	coccidioidomycosis	(WEIGHT_LOSS NAUSEA VOMITING SEIZURE HEADACHE PHOTOPHOBIA MENINGEAL_SIGN ARTHRITIS ULCER ERYTHEMA_NODOSUM HILAR_LYMPHADENOPATHY HEMOPTYSIS CHEST_PAIN COUGH FEVER SIGN/SYMPTOM)	(weight loss nausea vomiting seizure; epileptic seizure headache photophobia meningeal sign arthritis ulcer erythema nodosum (septal panniculitis) hilar lymphadenopathy hemoptysis chest pain cough fever sign/symptom)
MYCETOMA	mycetoma (fungus ball, Madera foot)	(LYMPHADENOPATHY ULCER EDEMA)	(lymphadenopathy ulcer edema (swelling))
MADURA_FOOT	Madura foot; mycetoma pedis	(EDEMA)	(edema (swelling))
SPECIFIC_GRANULE_DEFICIENCY	specific granule deficiency	(INFLAMMATION)	(inflammation)
LEUKOCYTE_ADHESION_DEFICIENCY_1	leukocyte adhesion deficiency-1	(GINGIVITIS)	(gingivitis)
LEUKOCYTE_ADHESION_DEFICIENCY_2	leukocyte adhesion deficiency-2	(SHORT_STATURE MENTAL_RETARDATION)	(short stature mental retardation; developmental intellectual disorder)
THYROTOXICOSIS	thyrotoxicosis	(HYPERTHYROIDISM)	(hyperthyroidism)
T3_THYROTOXICOSIS	T3 thyrotoxicosis	(THYROTOXICOSIS HYPERTHYROIDISM)	(thyrotoxicosis hyperthyroidism)
THYROID_STORM	thyroid storm	(APATHY SEIZURE DIARRHEA JAUNDICE NAUSEA VOMITING ABDOMINAL_PAIN HYPOTENSION TACHYARRHYTHMIA ATRIAL_FIBRILLATION FEVER HYPERTHYROIDISM)	(apathy (indifference) seizure; epileptic seizure diarrhea jaundice (icterus) nausea vomiting abdominal pain hypotension tachyarrhythmia (tachycardia) atrial fibrillation (AF) fever hyperthyroidism)
THYROID_NODULE	thyroid nodule	(HYPOTHYROIDISM HASHIMOTO^S_THYROIDITIS HYPERTHYROIDISM)	(hypothyroidism Hashimoto's thyroiditis; chronic lymphocytic thyroiditis; struma lymphomatosa; lymphadenoid goiter; primary myxedema hyperthyroidism)
EUNUCHISM	eunuchism	(PALLOR TESTICULAR_ATROPHY)	(pallor testicular atrophy)
ANDROPAUSE	andropause	(DEPRESSION MUSCLE_WEAKNESS SARCOPENIA ERECTILE_DYSFUNCTION)	(depression muscle weakness sarcopenia erectile dysfunction (ED))
NUTRITIONAL_DISORDER	nutritional disorder (malnutrition)	(WEIGHT_LOSS)	(weight loss)
HYPONATREMIA	hyponatremia	(CHEYNE_STOKES_RESPIRATION FASCICULATION DEEP_TENDON_REFLEX CONFUSION COGNITIVE_IMPAIRMENT DYSGEUSIA NAUSEA VOMITING AGITATION IRRITABILITY APATHY MUSCLE_CRAMP MUSCLE_WEAKNESS HEADACHE HYPONATREMIA)	(Cheyne-Stokes respiration (includes: high altitude periodic breathing) fasciculation (muscle twitching) deep tendon reflex (DTR) confusion cognitive impairment dysgeusia (taste disorder) nausea vomiting agitation irritability (impatience, hyperexcitability) apathy (indifference) muscle cramp muscle weakness headache hyponatremia)
HYPERNATREMIA	hypernatremia	(TACHYARRHYTHMIA HYPOTENSION HYPERNATREMIA THIRST SUBARACHNOID_HEMORRHAGE SEIZURE IRRITABILITY CONFUSION MUSCLE_WEAKNESS)	(tachyarrhythmia (tachycardia) hypotension hypernatremia thirst subarachnoid hemorrhage (SAH) seizure; epileptic seizure irritability (impatience, hyperexcitability) confusion muscle weakness)
HYPOKALEMIA	hypokalemia	(VENTRICULAR_FIBRILLATION VENTRICULAR_TACHYCARDIA PREMATURE_VENTRICULAR_COMPLEX AV_JUNCTIONAL_TACHYCARDIA ATRIOVENTRICULAR_BLOCK ATRIAL_TACHYCARDIA SINUS_BRADYCARDIA CARDIAC_ARRHYTHMIA POLYURIA POLYDIPSIA MUSCLE_CRAMP HYPOREFLEXIA HYPOTONIA FLACCID_PARALYSIS RESPIRATORY_PARALYSIS MUSCLE_WEAKNESS HYPOKALEMIA SIGN/SYMPTOM)	(ventricular fibrillation (V Fib) ventricular tachycardia (VT) premature ventricular complex (PVC) or depolarization (PVD), extrasystole AV junctional tachycardia atrioventricular (AV) block atrial tachycardia sinus bradycardia cardiac arrhythmia polyuria polydipsia muscle cramp hyporeflexia hypotonia flaccid paralysis respiratory paralysis muscle weakness hypokalemia sign/symptom)
HYPERKALEMIA	hyperkalemia	(PARESTHESIA MUSCLE_WEAKNESS)	(paresthesia muscle weakness)
METABOLIC_ALKALOSIS	metabolic alkalosis	(HYPOKALEMIA HYPERREFLEXIA MUSCLE_CRAMP WEAKNESS HYPOVENTILATION)	(hypokalemia hyperreflexia muscle cramp weakness hypoventilation)
RESPIRATORY_ALKALOSIS	respiratory alkalosis	(MUSCLE_CRAMP TETANY CARPOPEDAL_SPASM PARESTHESIA HYPOCALCEMIA CARDIAC_ARRHYTHMIA PALPITATION SEIZURE SYNCOPE LIGHT_HEADEDNESS)	(muscle cramp tetany carpopedal spasm paresthesia hypocalcemia cardiac arrhythmia palpitations seizure; epileptic seizure syncope light-headedness)
METABOLIC_ACIDOSIS	metabolic acidosis	(INSULIN_RESISTANCE CARDIAC_ARRHYTHMIA HYPOTENSION FATIGUE NAUSEA ABDOMINAL_PAIN)	(insulin resistance cardiac arrhythmia hypotension fatigue; lassitude; tiredness nausea abdominal pain)
RESPIRATORY_ACIDOSIS	respiratory acidosis	(CARDIAC_ARRHYTHMIA TACHYARRHYTHMIA HYPERTENSION SOMNOLENCE HEADACHE PAPILLEDEMA ASTERIXIS AGITATION)	(cardiac arrhythmia tachyarrhythmia (tachycardia) hypertension (HTN, high blood pressure, HBP) somnolence (sleepiness) headache papilledema asterixis (liver flap) agitation)
PYROGLUTAMIC_ACIDOSIS	pyroglutamic acidosis	(CONFUSION)	(confusion)
DIABETIC_KETOACIDOSIS	diabetic ketoacidosis (DKA)	(HYPOTHERMIA POLYDIPSIA POLYURIA ORTHOSTATIC_HYPOTENSION TACHYPNEA TACHYARRHYTHMIA MUSCLE_CRAMP DYSPNEA WEIGHT_LOSS FATIGUE ABDOMINAL_PAIN ANOREXIA NAUSEA VOMITING)	(hypothermia polydipsia polyuria orthostatic hypotension (postural tachycardia syndrome, POTS, Bradbury-Eggleston Syndrome) tachypnea tachyarrhythmia (tachycardia) muscle cramp dyspnea (shortness of breath {SOB}) weight loss fatigue; lassitude; tiredness abdominal pain anorexia nausea vomiting)
D_LACTIC_ACIDOSIS	D-lactic acidosis	(ATAXIA SLURRED_SPEECH CONFUSION D_LACTIC_ACIDOSIS)	(ataxia slurred speech confusion D-lactic acidosis)
CONGENITAL_INFANTILE_LACTIC_ACIDOSIS	congenital infantile lactic acidosis	(LACTIC_ACIDOSIS HYPOTONIA)	(lactic acidosis hypotonia)
CORTICOSTEROID_BINDING_GLOBULIN_DEFICIENCY	corticosteroid-binding globulin deficiency (CBG deficiency)	(FATIGUE HYPOTENSION HYPERTENSION)	(fatigue; lassitude; tiredness hypotension hypertension (HTN, high blood pressure, HBP))
GUANIDINOACETATE_METHYLTRANSFERASE_DEFICIENCY	guanidinoacetate methyltransferase deficiency (GAMT deficiency)	(SEIZURE MENTAL_RETARDATION)	(seizure; epileptic seizure mental retardation; developmental intellectual disorder)
DIHYDROPYRIMIDINASE_DEFICIENCY	dihydropyrimidinase deficiency	(EPILEPSY)	(epilepsy)
PSEUDOCHOLINESTERASE_DEFICIENCY	pseudocholinesterase deficiency; butyrylcholinesterase deficiency	(RESPIRATORY_PARALYSIS)	(respiratory paralysis)
PHOSPHORIBOSYLPYROPHOSPHATE_SYNTHETASE_SUPERACTIVITY	phosphoribosylpyrophosphate synthetase superactivity (PRPS-related gout)	(GOUT)	(gout)
GTP_CYCLOHYDROLASE_DEFICIENCY	GTP cyclohydrolase deficiency	(SIALORRHEA HYPERTHERMIA IRRITABILITY DROWSINESS CONVULSION DYSTONIA)	(sialorrhea hyperthermia (pyrexia) irritability (impatience, hyperexcitability) drowsiness convulsion dystonia)
HOLOCARBOXYLASE_SYNTHETASE_DEFICIENCY	holocarboxylase synthetase deficiency	(CARDIOGENIC_SHOCK ERYTHRODERMA VOMITING TACHYPNEA IRRITABILITY)	(cardiogenic shock erythoderma (exfoliative dermatitis) vomiting tachypnea irritability (impatience, hyperexcitability))
GABA_AT_DEFICIENCY	GABA aminotransaminase deficiency (GABA-AT deficiency)	(SEIZURE HYPERREFLEXIA HYPOTONIA)	(seizure; epileptic seizure hyperreflexia hypotonia)
METHYLENETETRAHYDROFOLATE_REDUCTASE_DEFICIENCY	methylenetetrahydrofolate reductase deficiency	(CYANOSIS MICROCEPHALY MENTAL_RETARDATION)	(cyanosis microcephaly mental retardation; developmental intellectual disorder)
BIOTINIDASE_DEFICIENCY	biotinidase deficiency (BTD deficiency); late-onset multiple carboxylase deficiency	(HEARING_LOSS ATAXIA ALOPECIA HYPOTONIA SEIZURE)	(hearing loss (hearing impairment, hard of hearing, HOH) ataxia alopecia (hair loss, balding) hypotonia seizure; epileptic seizure)
AICA_RIBOSURIA	AICA-ribosuria (AICA-ribosiduria)	(BLINDNESS EPILEPSY MENTAL_RETARDATION)	(blindness epilepsy mental retardation; developmental intellectual disorder)
TRIMETHYLAMINURIA	trimethylaminuria (fish-odor syndrome)	(BODY_ODOR)	(body odor; Osmidrosis; bromhidrosis)
CARNITINE_ACYLCARNITINE_TRANSLOCASE_DEFICIENCY	carnitine-acylcarnitine translocase deficiency (CACT deficiency)	(MUSCLE_WEAKNESS HEPATOMEGALY)	(muscle weakness hepatomegaly)
PYRUVATE_DEHYDROGENASE_DEFICIENCY	pyruvate dehydrogenase deficiency	(ATAXIA HYPOTONIA DYSTONIA SIGN/SYMPTOM LACTIC_ACIDOSIS)	(ataxia hypotonia dystonia sign/symptom lactic acidosis)
4_HYDROXYBUTYRICACIDURIA	4-hydroxybutyricaciduria	(ATAXIA)	(ataxia)
AROMATIC_L_AMINO_ACID_DECARBOXYLASE_DEFICIENCY	aromatic-L-amino-acid decarboxylase deficiency (AADC deficiency)	(HYPOTHERMIA BLEPHAROPTOSIS)	(hypothermia blepharoptosis; ptosis; lid lag)
ARGINOSUCCINICACIDURIA	arginosuccinicaciduria	(CONVULSION MENTAL_RETARDATION)	(convulsion mental retardation; developmental intellectual disorder)
HEREDITARY_FOLATE_MALABSORPTION	hereditary folate malabsorption	(SEIZURE MENTAL_RETARDATION CHRONIC_DIARRHEA)	(seizure; epileptic seizure mental retardation; developmental intellectual disorder chronic diarrhea)
COENZYME_Q_DEFICIENCY	coenzyme Q deficiency (ubiquinone deficiency)	(ATAXIA ATROPHY)	(ataxia atrophy)
GLUTARIC_ACIDEMIA	glutaric acidemia	(DYSTONIA ATHETOSIS)	(dystonia athetosis)
ATP_SYNTHASE_DEFICIENCY	ATPase synthase deficiency; ATPase deficiency; ATPAF2 deficiency	(HYPERTONIA MICROGNATHIA CAMPTODACTYLY)	(hypertonia micrognathia camptodactyly)
SULFOCYSTEINURIA	sulfocysteinuria; isolated sulfite oxidase deficiency	(SEIZURE)	(seizure; epileptic seizure)
MOLYBDENUM_COFACTOR_DEFICIENCY	molybdenum cofactor deficiency	(SEIZURE)	(seizure; epileptic seizure)
CARNITINE_DEFICIENCY	carnitine deficiency	(HYPOGLYCEMIA)	(hypoglycemia)
HOMOCYSTINURIA	homocystinuria	(THROMBOEMBOLISM CATARACTS SPASTICITY SEIZURE MENTAL_RETARDATION)	(thromboembolism cataracts spasticity seizure; epileptic seizure mental retardation; developmental intellectual disorder)
METHYLMALONIC_ACIDEMIA	methylmalonic acidemia/aciduria	(VOMITING HYPOTONIA FAILURE_TO_THRIVE)	(vomiting hypotonia failure to thrive)
CHRONIC_GRANULOMATOUS_DISEASE	chronic granulomatous disease	(GINGIVITIS INFLAMMATION)	(gingivitis inflammation)
GROWTH_HORMONE_DEFICIENCY_ISOLATED_TYPE_2	growth hormone deficiency isolated type 2; dwarfism of Sindh (IGHD1B)	(SHORT_STATURE)	(short stature)
GROWTH_HORMONE_DEFICIENCY_ISOLATED_TYPE_1A	growth hormone deficiency isolated type 1A; pituitary dwarfism I (IGHD1A)	(SHORT_STATURE)	(short stature)
PRO_OPIOMELANOCORTININ_DEFICIENCY	pro-opiomelanocortinin (POMC) deficiency	(OBESITY)	(obesity)
MINERALOCORTICOID_RECEPTOR_ACTIVATION	mineralocorticoid receptor activation	(HYPERTENSION)	(hypertension (HTN, high blood pressure, HBP))
LEUCINE_INDUCED_HYPOGLYCEMIA	leucine-induced hypoglycemia; leucine-sensitive hypoglycemia of infancy	(HYPOGLYCEMIA)	(hypoglycemia)
MINERALOCORTICOID_EXCESS	mineralocorticoid excess	(HYPERTENSION)	(hypertension (HTN, high blood pressure, HBP))
AROMATASE_DEFICIENCY	aromatase deficiency	(AMENORRHEA)	(amenorrhea (oligomenorrhea))
ANDROGEN_INSENSITIVITY	androgen insensitivity syndrome (testicular feminization syndrome)	(AMBIGUOUS_GENITALIA AMENORRHEA)	(ambiguous genitalia amenorrhea (oligomenorrhea))
PLASMINOGEN_ACTIVATOR_INHIBITOR_1_DEFICIENCY	plasminogen activator inhibitor-1 deficiency	(MENORRHAGIA HEMORRHAGE)	(menorrhagia hemorrhage (bleeding))
HEREDITARY_PYROPOIKILOCYTOSIS	hereditary pyropoikilocytosis	(HEMOLYTIC_ANEMIA)	(hemolytic anemia)
HEREDITARY_STOMATOCYTOSIS	hereditary stomatocytosis (cryohydrocytosis)	(HEMOLYTIC_ANEMIA)	(hemolytic anemia)
ELLIPTOCYTOSIS_TYPE_4	elliptocytosis type 4	(HEMOLYTIC_ANEMIA)	(hemolytic anemia)
ELLIPTOCYTOSIS_TYPE_3	elliptocytosis type 3	(HEMOLYTIC_ANEMIA)	(hemolytic anemia)
ELLIPTOCYTOSIS_TYPE_2	elliptocytosis type 2	(HEMOLYTIC_ANEMIA)	(hemolytic anemia)
ELLIPTOCYTOSIS_TYPE_1	elliptocytosis type 1	(HEMOLYTIC_ANEMIA)	(hemolytic anemia)
FACTOR_XIII_DEFICIENCY	factor XIII deficiency	(HEMORRHAGE)	(hemorrhage (bleeding))
HEREDITARY_METHEMOGLOBINEMIA	hereditary methemoglobinemia	(MENTAL_RETARDATION CYANOSIS)	(mental retardation; developmental intellectual disorder cyanosis)
F13A_DEFICIENCY	F13A deficiency	(HEMORRHAGE INTRACRANIAL_HEMORRHAGE HEMATOMA)	(hemorrhage (bleeding) intracranial hemorrhage hematoma)
F13B_DEFICIENCY	F13B deficiency	(HEMORRHAGE INTRACRANIAL_HEMORRHAGE HEMATOMA)	(hemorrhage (bleeding) intracranial hemorrhage hematoma)
KERATOSIS_PILARIS	keratosis pilaris	(PRURITIS ERYTHEMA)	(pruritis (itching) erythema)
SEBORRHEIC_KERATOSIS	seborrheic keratosis	(LESER_TRELAT_SIGN PRURITIS)	(Leser Trelat sign pruritis (itching))
CHEMICAL_LEUKODERMA	chemical leukoderma	(HYPOPIGMENTATION)	(hypopigmentation)
VITILIGO	vitiligo	(ANTERIOR_UVEITIS ALOPECIA_AREATA LEUKOTRICHIA KOEBNER_PHENOMENON HYPOPIGMENTATION)	(anterior uveitis (iritis, iridocyclitis) alopecia areata leukotrichia Koebner phenomenon hypopigmentation)
DERMATITIS	dermatitis	(HYPERSENSITIVITY RASH CONTACT_DERMATITIS)	(hypersensitivity rash contact dermatitis (exogenous eczema))
CORAL_DERMATITIS	coral dermatitis	(ERYTHEMA PRURITIS PARESTHESIA)	(erythema pruritis (itching) paresthesia)
INCONTINENCE_ASSOCIATED_DERMATITIS	incontinence-associated dermatitis	(ERYTHEMA)	(erythema)
MACERATION	skin maceration	(ERYTHEMA)	(erythema)
RADIODERMATITIS	radiodermatitis (radiation dermatitis)	(INDURATION ATROPHY ULCER PRURITIS EXFOLIATION EDEMA ERYTHEMA)	(induration atrophy ulcer pruritis (itching) exfoliation (desquamation) edema (swelling) erythema)
HAND_DERMATITIS	hand dermatitis	(DIFFUSE_ERYTHEMA PAIN PARESTHESIA HYPERKERATOSIS PRURITIS EDEMA ERYTHEMA CONTACT_DERMATITIS)	(diffuse erythema pain [odyn-] paresthesia hyperkeratosis pruritis (itching) edema (swelling) erythema contact dermatitis (exogenous eczema))
ID_REACTION	id reaction (autoeczematous reaction)	(PRURITIS)	(pruritis (itching))
ERYTHRODERMA	erythoderma (exfoliative dermatitis)	(PERIPHERAL_EDEMA LYMPHADENOPATHY HYPOTHERMIA FEVER CHILLS ALOPECIA ERYTHRODERMA EXFOLIATION PRURITIS ERYTHEMA)	(peripheral edema lymphadenopathy hypothermia fever chills/rigors alopecia (hair loss, balding) erythoderma (exfoliative dermatitis) exfoliation (desquamation) pruritis (itching) erythema)
NEURODERMATITIS	neurodermatitis	(PRURIGO_NODULARIS)	(prurigo nodularis (picker's nodules))
ASTEATOTIC_DERMATITIS	asteatotic dermatitis (eczema craquelatum, xerotic eczema, winter itch)	(ERYTHEMA)	(erythema)
SEBORRHEIC_DERMATITIS	seborrheic dermatitis; cradle cap (infants)	(PARESTHESIA PRURITIS RASH INFLAMMATION)	(paresthesia pruritis (itching) rash inflammation)
GRANULOMA_ANNULARE	granuloma annulare (GA)	(ERYTHEMA)	(erythema)
ERYTHEMA_ANNULARE_CENTRIFUGUM	erythema annulare centrifugum	(ERYTHEMA)	(erythema)
DERMATOPHYTOSIS	dermatophytosis	(INFLAMMATION)	(inflammation)
PITYRIASIS_ROSEA	Pityriasis rosea; Pityriasis circinata; Pityriasis maculata	(RASH ERYTHEMA PRURITIS)	(rash erythema pruritis (itching))
PRURIGO_NODULARIS	prurigo nodularis (picker's nodules)	(ULCER HYPERPIGMENTATION)	(ulcer hyperpigmentation)
TINEA	Tinea	(INFLAMMATION PARESTHESIA PRURITIS)	(inflammation paresthesia pruritis (itching))
TINEA_VERSICOLOR	Tinea versicolor (Pityriasis versicolor)	(HYPOPIGMENTATION INFLAMMATION)	(hypopigmentation inflammation)
TINEA_CAPITIS	Tinea capitis	(ALOPECIA ERYTHEMA INFLAMMATION)	(alopecia (hair loss, balding) erythema inflammation)
TINEA_PEDIS	Tinea pedis (athlete's foot)	(ULCER INFLAMMATION ERYTHEMA MACERATION)	(ulcer inflammation erythema skin maceration)
TINEA_MANUS	Tinea manus	(PAIN PRURITIS)	(pain [odyn-] pruritis (itching))
TINEA_CORPORIS	Tinea corporis	(INFLAMMATION PRURITIS)	(inflammation pruritis (itching))
TINEA_CRURIS	Tinea cruris (jock itch)	(ERYTHEMA)	(erythema)
TINEA_BARBAE	Tinea barbae	(LYMPHADENOPATHY PAIN PRURITIS INFLAMMATION FOLLICULITIS)	(lymphadenopathy pain [odyn-] pruritis (itching) inflammation folliculitis)
ACUTE_HEPATIC_PORPHYRIA	acute hepatic porphyria	(PAIN VOMITING HYPONATREMIA)	(pain [odyn-] vomiting hyponatremia)
NUMMULAR_ECZEMA	nummular (discoid) eczema; exudative dermatosis	(ERYTHEMA)	(erythema)
ATOPIC_DERMATITIS	atopic dermatitis (eczema)	(CATARACTS CONJUNCTIVITIS PALLOR FACIAL_ERYTHEMA DERMATOGRAPHISM HYPERKERATOSIS INFLAMMATION ERYTHEMA XEROSIS PRURITIS)	(cataracts conjunctivitis pallor facial erythema dermatographism hyperkeratosis inflammation erythema xerosis (dry skin) pruritis (itching))
LICHEN_SIMPLEX_CHRONICUS	lichen simplex chronicus (LSC)	(PRURITIS)	(pruritis (itching))
STASIS_ULCER	venous stasis ulcer	(PRESSURE_ULCER INDURATION INFLAMMATION FEVER ERYTHEMA ULCER EDEMA)	(pressure ulcer (decubitus ulcer, bedsore) induration inflammation fever erythema ulcer edema (swelling))
DARIER_WHITE_DISEASE	Darier-White disease; keratosis follicularis	(SEIZURE MENTAL_RETARDATION PERSPIRATION)	(seizure; epileptic seizure mental retardation; developmental intellectual disorder perspiration (sweating))
FAMILIAL_PROGRESSIVE_HYPERPIGMENTATION	familial progressive hyperpigmentation (melanosis universalis hereditaria)	(HYPERPIGMENTATION)	(hyperpigmentation)
PALMOPLANTAR_KERATODERMA_EPIDERMOLYTIC	palmoplantar keratoderma epidermolytic (EPPK, EHPPK)	(ERYTHEMA)	(erythema)
DOWLING_DEGOS_KITAMURA_DISEASE	Dowling-Degos-Kitamura disease; Dowling-Degos disease; reticulate acropigmentation of Kitamura	(HYPERKERATOSIS HYPERPIGMENTATION)	(hyperkeratosis hyperpigmentation)
SKIN_FRAGILITY_WOOLLY_HAIR_SYNDROME	skin fragility-woolly hair syndrome (SFWHS)	(ALOPECIA HYPERKERATOSIS PALMOPLANTAR_KERATODERMA)	(alopecia (hair loss, balding) hyperkeratosis palmoplantar keratoderma)
DYSCHROMATOSIS_SYMMETRICAL_HEREDITARIA	dyschromatosis symmetrical hereditaria (reticulate acropigmentation of Dohi)	(HYPOPIGMENTATION HYPERPIGMENTATION)	(hypopigmentation hyperpigmentation)
PIEBALDISM	piebaldism (partial albinism)	(HYPERPIGMENTATION HYPOPIGMENTATION)	(hyperpigmentation hypopigmentation)
ACTINIC_PRURIGO	actinic prurigo; hydroa estivale; Hutchinson's summer prurigo	(CONJUNCTIVITIS CHEILITIS)	(conjunctivitis cheilitis)
PALMOPLANTAR_KERATODERMA_STRIATE_TYPE_1	palmoplantar keratoderma striate type 1 (SPPK1); keratosis palmoplantaris striata 1	(HYPERKERATOSIS)	(hyperkeratosis)
ECTODERMAL_DYSPLASIA_PURE_HAIR_NAIL_TYPE	ectodermal dysplasia pure hair-nail type	(ALOPECIA)	(alopecia (hair loss, balding))
FAT_EMBOLISM	fat embolism	(RETINAL_HEMORRHAGE SEIZURE AGITATION HEMORRHAGE FEVER TACHYARRHYTHMIA DYSPNEA PETECHIAE BERGMAN^S_TRIAD)	(retinal hemorrhage (RHe) seizure; epileptic seizure agitation hemorrhage (bleeding) fever tachyarrhythmia (tachycardia) dyspnea (shortness of breath {SOB}) petechia Bergman'’s triad)
